course_code,course_name,credits,description
AH-190,Lactation Consultant Practicum,4.00,"Focuses on the clinical application of lactation concepts to breastfeeding mothers. Select experiences in health care facilities enable students to assess, develop, implement and evaluate the care of the breastfeeding dyad. The course requires 200 hours in the health care setting. This is consistent with Pathway 2 according to International Board of Lactation Consultant Examiners (IBLCE)."
AH-192,Lactation Consultant Advanced Practicum,4.00,"Focuses on the clinical application of lactation concepts to breastfeeding mothers. Select experiences in health care facilities enable students to assess, develop, implement and evaluate the care of the breastfeeding dyad. The course requires 200 hours in the health care setting.  This course is the second part of the practicum, following AH-190, consistent with Pathway 2 according to  International Board of Lactation Consultant Examiners (IBLCE)."
ANTH-131,Introduction to Anthropology,3.00,"Introduces the holistic study of humanity using a multi-faceted approach that draws from the discipline's four field: archaeology, physical, cultural, and linguistic anthropology. Course topics include human evolution and variability, cultural diversity and change, material culture and language. other themes explored include religion, kinship, social and political organization, the neolithic revolution, as well as the intellectual contributions of anthropology to the social sciences."
ANTH-151,Cultures of North America,3.00,"Introduces the diverse cultures, histories, and traditions of the indigenous peoples, nations, and civilizations of North America from their origins through the era of European colonization. Examines contemporary social, economic, and political currents as well as challenges faced by Native American communities today. The course employs an interdisciplinary approach that draws from historical archaeology, ethnography, history, studies in colonialism and material culture, literature, and film."
ANTH-152,Middle Eastern Peoples and Cultures,3.00,"Introduces the various ethnic, linguistic, and religious groups as well as cultures of the Middle East with an emphasis on both the Arabs and Islam as two of the most powerful social forces to have shaped the history and culture of the region. Explores Orientalism and western perceptions of the Middle East, colonialism. globalization and identity, nationalism, and other popular ideological currents that continue to influence the region and its peoples. Also examines the history and experiences of Arabs in the United States with a special focus on the large Arab-American community in Dearborn, Michigan."
ANTH-153,Introduction to Archaeology,3.00,"Introduces the branch of anthropology that relates to the study of past societies, cultures, and civilizations. Explores the role of excavation, survey, material culture analysis, dating methods, and interpretation of artifacts, features, inscriptions, and monumental architecture in the ancient world. Examines developments and archaeological discoveries related to various historical periods ranging from the era of pre-human history to the emergence of state-level societies in places such as ancient Mesopotamia, Egypt, and China. Part of the course is also dedicated to familiarizing students with studies and local projects related to the archaeology of Detroit."
ANTH-154,"Food, Culture, and Economy",3.00,"Explores the interconnectedness of food, culture, and economy as an overlapping set of practices and approaches that transcend geographic boundaries. Examines the relationship between food and group identity, status, culture, gender, religion, politics, economics, class, and power using ethnographic, cross-cultural comparisons. Analyzes food traditions in the context of globalization, and looks at the political, economic, social, and cultural impact of global food system structures on the United States and the rest of the world."
ARA-130,Pre-Elementary Arabic,3.00,"Introduces Modern Standard Arabic: the alphabet, vocabulary, pronunciation, grammar, and listening/speaking skills. Covers basic conversational skills. Presents Arabic culture.Note:No prior knowledge of Arabic required. Not open to students with basic reading and writing proficiency in Arabic or those who have earned credit for ARA-131 or its equivalent."
ARA-131,Elementary Arabic I,4.00,"Introduces the basic skills of reading, writing, speaking, and listening in Modern Standard Arabic within communicative contexts. Covers the elementary pronunciation and grammatical principles necessary for comprehending and expressing simple ideas in both spoken and written Modern Standard Arabic. Presents Arabic culture.NOTE:Requires basic proficiency in recognizing, reading, and writing simple sentences in Modern Standard Arabic."
ARA-132,Elementary Arabic II,4.00,"Further builds reading, writing, speaking, and listening skills in Modern Standard Arabic, focusing on communication in a cultural context. Develops students' knowledge of vocabulary, pronunciation and grammatical principles in order to comprehend and express everyday ideas in both spoken and written Modern Standard Arabic. Presents Arabic culture."
ARA-231,Intermediate Arabic I,4.00,"Follows ARA-132 and is the first of two intermediate-level Modern Standard Arabic courses focusing on communication in a cultural context. Develops students' reading, writing, speaking, and listening skills in Modern Standard Arabic, expands their vocabulary, and deepens their knowledge of pronunciation and grammatical principles in order to comprehend and express essential ideas in both spoken and written Modern Standard Arabic. Presents Arabic culture."
ARA-232,Intermediate Arabic II,4.00,"Follows ARA-231 and is the second of two intermediate-level Modern Standard Arabic courses focusing on communication in a cultural context. Further develops students' reading, writing, speaking, and listening skills in Modern Standard Arabic, expands their vocabulary, and deepens their knowledge of pronunciation and grammatical principles in order to comprehend and express a wide range of ideas in both spoken and written Arabic. Presents Arabic culture."
ART-101,Two-Dimensional Design,3.00,"Introduces the basic visual elements and principles of design, along with a wide range of visual problem solving strategies, and theoretical guidelines regarding two-dimensional composition. Covers a variety of art media and processes, and formal art and design vocabulary.  This class meets for six (6) hours a week."
ART-102,Drawing I,3.00,"An introductory-level course focusing on the fundamental concepts and skills involved in drawing a range of subject matter from direct observation. Explores line, value, and linear perspective studies in a variety of drawing media.  This class meets for six (6) hours a week."
ART-104,Color Theory,3.00,"An introduction to the basic principles and theories of color. The course examines color properties, color schemes and harmonies, as well as the illusionary values and emotive qualities of color, and how these are used in art.  This class meets for six (6) hours a week."
ART-105,Three-Dimensional Design,3.00,"Explores design fundamentals, techniques, materials, and principles of organization as applied to three-dimensional art.  This class meets for six (6) hours a week."
ART-107,Photoshop,3.00,"Provides an introductory-level study of digital imaging with Photoshop. Including print, web, illustration, image enhancement/correction and animation techniques. This is the first digital course for the Digital and Graphic Arts programs. Students are expected to have access to the Adobe Creative Cloud desktop application Photoshop for use outside of class. Tablet versions will not satisfy the course learning outcomes."
ART-108,Introduction to Animation,3.00,An introduction to animation using industry standard animation software. Primary emphasis is on creating animated sequences using software tools and gaining an understanding of how to develop a sequence of action.
ART-111,Digital Media,3.00,"An introduction to the usage of digital media as it applies within a studio art discipline.  Various types of imaging software, the use of time-based media as well as cross platform construction will be covered.  This class meets for six (6) hours a week."
ART-112,Drawing II,3.00,This is and intermediate college level drawing class that stresses drawing fundamentals through working with a variety of subject matter observed firsthand.  This class meets for six (6) hours a week.
ART-113,Life Drawing I,3.00,"An introductory college level class on how to draw the human figure. Discusses proportion and anatomy through direct observation, and explores a variety of drawing media.  This class meets for six (6) hours a week."
ART-114,Graphic Design Studio 1,3.00,"An introduction to visual communication using the Adobe Creative Software Suite. Provides a working knowledge of InDesign and Illustrator. Introduction to the fundamentals and principles of design. Explores the design and development of a variety of media, including multi-page print documents and digital output.  This class meets for six (6) hours a week. Students are expected to have access to the Adobe Creative Cloud applications including Photoshop, Indesign, Illustrator, Acrobat, AfterEffects and XD."
ART-116,Painting I,3.00,A beginning level college painting class that explores traditional and contemporary approaches in observational painting.  This class meets for six (6) hours a week.
ART-117,Story Boarding for Design,3.00,"This time based graphic course will provide experience with linear sequencing as well as exploring the users experience with a digital product. This course will develop skills used in 2D animation, motion and interactive experience design.  This class meets for three (3) hours a week."
ART-121,Art History Survey I (Pre-historic to Medieval),3.00,"A survey of the development of visual arts from the pre-historic to the end of medieval period, covering major civilizations and cultures worldwide.  Offers students strong background for understanding the visual art as a vehicle of communication in its functional context. Provides cross-cultural understanding through continuous critical thinking perspective. Enables students to comprehend and interpret works of art by examining the contextual characteristics of the work, its subject, functionality and the culture(s) that produced it. A field trip to a major museum and other appropriate sites is required to strengthen student knowledge."
ART-122,Art History Survey II,3.00,"A survey of the development of visual arts from the early Renaissance to the present time. Offers broad background for understanding the visual art as a vehicle of communication in its functional context. Provides a concise appreciation to the development of socioeconomic, religious and political characteristics of the covered periods. Enables students to acquire a broad scope of cross-cultural understanding through continuous critical thinking perspective. Discusses how to comprehend and interpret works of art by examining the contextual characteristics of the work, its subject, functionality and the culture(s) that produced it. A field trip to a major museum and other appropriate sites is required to strengthen student knowledge. NOTE: It is recommended that a student who plans to take both ART-121 and ART-122 start with ART-121 first."
ART-123,History of Modern Art,3.00,"A survey of major visual art forms, techniques, styles, movements, and personalities of the nineteenth, and twentieth/twenty-first centuries. Explores architecture, sculpture, painting, printmaking, graphic design, and non-traditional art forms of the modern and post-modern era. Offers broad knowledge for understanding the visual art and its societal function. Presents learning tools to comprehend and interpret works of art by examining the contextual characteristics, subject matter, functionality, and the culture(s) that produced the artwork. A field trip to a major museum and other appropriate art sites is required to strengthen student’s knowledge."
ART-130,History of Graphic Design,3.00,"Explores design through the ages and the various contexts in which it developed. Studies the evolution of the letter form, the emergence of type and printing, and the history of design and illustration."
ART-135,Art Appreciation,3.00,"A global survey of the development of visual arts through studying major historic civilizations and cultures from the stone age to the present. Explains technical information on the materials, tools, and techniques used to create visual arts in different branches. Discusses how to interpret works of art by examining the contextual characteristics, the content, functionality and the culture(s) that produced it. Field work at a major museum/art gallery is required to strengthen student’s knowledge."
ART-141,Ceramics I,3.00,"A beginning level college course in ceramic materials and processes.  Covers various hand-building techniques, basic surface and glazing techniques, and the differences between gas and electric firing.  This class meets for six (6) hours a week."
ART-142,Ceramics II,3.00,Emphasizes functional pots and the wheel as the primary technique of construction. Introduces the history of functional ceramics as an idea source for functional designs and includes instruction in kiln stacking.  This class meets for six (6) hours a week.
ART-150,Digital Photography I,3.00,"An introductory-level course on the basics of digital imaging where creativity is emphasized. Offers key concepts such as (manual) camera capture, basic file management, ‘non-destructive’ image processing, and printing which help foster the foundations for visual communications, new media disciplines, or a fine art practice. A student may wait until the first class meeting to make arrangements to buy/use a camera.  This class meets for six (6) hours a week."
ART-161,Darkroom Photography,3.00,"A beginning college level art class designed to teach the use of an manual 35 mm SLR film camera, development of black & white negatives and the making of black and white prints in the darkroom. If the student does not own a suitable camera prior to taking this class, he/she may wait until the first class meeting prior to purchasing one. Creativity is emphasized.  This class meets for six (6) hours a week."
ART-165,Typography,3.00,"Typography is the art of arranging type to create visually communicated messages. Covers typesetting, and layout design including history, anatomy, and and design fundamentals. Introduces Adobe Illustrator and InDesign.ART-107is highly suggested prior to taking this course.  This class meets for six (6) hours a week. Students are expected to have access to the Adobe Creative Cloud applications including Photoshop, Indesign, and Illustrator."
ART-190,Co-op in Graphic Design,1.00,"Cooperative education is a structured method of combining classroom-based education with practical work experience. A cooperative education experience, commonly known as a ""co-op,"" provides academic credit for structured employment experience. Work experience must be directly related to the student’s declared major to be eligible. To register for this course, a student must have completed 50% of core coursework, maintain an overall GPA of 2.0 and a program specific GPA of 2.5. Contact the HFC Career Services Office for more information atcareers@hfcc.edu."
ART-213,Life Drawing II,3.00,An intermediate college level exploration Life Drawing through direct observation of a model.  This class meets for six (6) hours a week.
ART-214,Graphic Design Studio 2,3.00,"Builds on skills developed inART-114. Covers intermediate design solutions for a variety of media including print and digital using the Adobe Creative Software Suite. Focuses on creating materials for brand identity and provides an introduction into User Experience (UX) design.  This class meets for six (6) hours a week. Students are expected to have access to the Adobe Creative Cloud applications including Photoshop, Indesign, Illustrator, Acrobat, AfterEffects and XD."
ART-216,Painting II,3.00,An intermediate level college painting class that further explores traditional and contemporary approaches to observational painting.  This class meets for six (6) hours a week.
ART-221,Medieval Art,3.00,"A comprehensive overview of medieval art and architecture from the late antiquity to the late Gothic period in Europe and the Mediterranean region. Discusses the visual art and cultures of about 1000 years (around 400-1400 CE) including Late Roman, Early Christian, Byzantine, Romanesque, Islamic, and Gothic art. Offers diverse perspectives on the development, exchange, interaction, and influence between all these cultures through their visual arts. A field trip to a major museum is required."
ART-224,Art of Islam,3.00,"Offers a comprehensive study of the history and development of Islamic art and architecture from its birth in the 7th century CE to the present time. Explains basic characteristics of Islamic art as experienced through major architectural monuments, painting, sculpture, ceramic, calligraphy, and other forms of visual art. Discusses the relationship between the theology of Islam as a faith and its arts. A field trip to a major museum is required."
ART-225,Asian Art: Art of India and Southeast Asia,3.00,"Offers a global view on Asian art, culture, and history by exploring the major monuments, traditions, and civilizations of India, China, Japan, Korea, and Southeast Asia. Covers important Asian artists and historical figures, artistic terms, monuments, sites, and time periods. Discusses art and architecture in terms of historical, social, and religious context. Analyzes and distinguishes various styles of art, and examines how and why certain styles are characteristic of specific times and places."
ART-226,African and Afro American Art,3.00,"Provides a broad overview of the history of visual culture in different regions of continental Africa. Discusses different civilizations, which flourished in different parts of Africa from pre-historic time to the present. Offers study to native spiritual and ritualistic beliefs along with objects associated with and used in these various rituals and involved visual materials such as masks, helmets, costumes, weapons, body art, and other symbolic objects. Discusses African art in the Diaspora with focus on African artists in the Americas and the emerging African American art in North America. A field trip to a major museum is required."
ART-227,History of Arab Art and Architecture,3.00,"Presents an overview of the art, architecture, culture, and history of the Arab world. Discusses the history and development of Arab visual art and architecture from around 1000 BCE to the present time. Explains the relationship between the artistic forms of Arab art with different religious and political factors as well as the impact of different cultures on the identity of Arab art. A field trip to a major museum is required."
ART-228,Arabic Calligraphy,3.00,"Introduces students to the history and development of different styles of Arabic Calligraphy- both traditional and modern. Students will learn the use of the traditional letters writing in the Kufic, Thuluth, Ruq`ah, Diwani, Naskh and modern styles. By the end of the course, students should be able to produce calligraphic compositions of their own by utilizing the rules of measurement and creativity. They will also be able to distinguish between various styles in historical calligraphic monuments.  Basic knowledge of the Arabic language is helpful, but not necessary.  As a part of this course, students will visit the Detroit Institute of Art."
ART-229,Survey of Contemporary Art,3.00,"A global survey of major trends in visual art since the end of the Modern era.  Examines the evolution of visual exploration and expression since the middle of the twentieth century and the impact it has manifested on contemporary society worldwide.  Students will be encouraged to comprehend the context of contemporary trends and consider the artists' roles as image-makers in today's globally connected world.  A field trip to a major museum, or other appropriate art site, is required."
ART-242,Ceramics III,3.00,"An intermediate level course stressing refinement of ceramic construction techniques and design, primarily through utilitarian objects.  This class also offers the opportunity for individual exploration of ceramic glaze and surface possibilities.  This class meets for six (6) hours a week."
ART-245,Interactive Experience Design,3.00,"To provide students with the knowledge and skills needed for work in the field of experience design. Introduces User Interface (UI) and User Experience (UX) Design developing an understanding of basic design principles used in the creation of web and application-based communications. Through assigned projects, students will understand the nature of user interface design while the role of the user is introduced. To provide students with the ability to evaluate and apply design thinking process and systems to user experience design.
This class meets for six (6) hours a week."
ART-250,Digital Photography II,3.00,"Emphasizes how to refine lighting and post-production techniques. Expands on the concept of aesthetics for seeing, thinking, constructing, and manipulating various photographic forms and meanings.  This class meets for six (6) hours a week."
ART-255,Time Based Graphics,3.00,"Plan and produce time based graphics from conceptual storyboard through final digital output. Focus on is on motion graphics however these skills can be applied to 2D animation as well. This class meets for six (6) hours a week. Students are expected to have access to the Adobe Creative Cloud applications including Photoshop, Illustrator, and AfterEffects."
ART-261,Darkroom Photography II,3.00,Emphasizes how to refine darkroom techniques and the aesthetics of the photographic experience.
ART-265,Illustration,3.00,Emphasizes digital drawing and painting techniques used by illustrators to create commercial illustrations for print and digital media. Presents effective techniques when using Adobe Photoshop and Illustrator.  This class meets for six (6) hours a week.
ART-272,The Design Entrepreneur,3.00,"This course is designed to help the individual navigate the business of design. Explores the fundamentals of design management, creative problem-solving techniques, and interpersonal skills for a beginning design entrepreneur who is building a client base."
ART-273,Studio Art Capstone,1.00,A capstone class for graduating Studio Art majors to be taken during their final semester that includes portfolio and Exit Exhibition preparation and implementation.
ART-275,Advanced Projects,3.00,This is a capstone course for Digital and Graphic Arts students to prepare their work for both portfolio and graduating student exhibition. The business of design is also introduced. This class meets for three (3) hours once a week.
ART-2913,Directed Study in Painting,3.00,"An individualized, advanced-level course conducted under the direction of a faculty member who, together with the student, designs the format of the study or project. Students requesting directed study will have completed the appropriate sequence of courses offered by the department."
ART-2933,Directed Study in Drawing,3.00,"An individualized advance-level course under the direction of a faculty member who, together with the student, designs the format of the study or project. Students requesting directed study are required to complete the appropriate sequence of courses offered by the department."
ART-2936,Topics in Studio Art,3.00,Provides special study in the area of studio art organized by discipline or other criteria.  Specific topics and any prerequisites are listed in the current semesters class schedule or may be obtained through the departmental office. This class meets for six (6) hours a week.
ART-2953,Advanced Study in Ceramics,3.00,"An individualized advanced-level course study of a topic or project under the direction of a faculty member who, together with the student, designs the format of the study or project. Must have completed the appropriate sequence of courses offered by the department.  This class meets for six (6) hours a week."
ASL-130,Deaf Culture and the Deaf Community,3.00,"Introduces the Deaf culture and the Deaf community, focusing on its history, traditions, values, and characteristics. Provides a survey of Sign language structure, history, and usage, as well as information about the contributions of Deaf persons to American society."
ASL-131,Elementary American Sign Language I,4.00,"Introduces the basic American Sign Language (ASL) skills, focusing on communication in a cultural context.  Covers fingerspelling, basic vocabulary and grammatical structures, and the development of visual receptive and gestural expressive skills.  Designed for students with little or no previous knowledge of ASL."
ASL-132,Elementary American Sign Language II,4.00,"Further builds American Sign Language (ASL) skills, focusing on communication in a cultural context. Expands students' knowledge of fingerspelling, vocabulary and grammatical structures, and the development of visual receptive and gestural expressive skills in order to comprehend and express everyday ideas in ASL."
ASL-135,Fingerspelling and Numbering,2.00,"Provides an overview of American Sign Language (ASL) fingerspelling techniques and numbering skills, focusing on improving students’ receptive and expressive skills so that students will be able to communicate with speed, dexterity and clarity."
ASL-140,Fingerspelling and Numbering,3.00,"Provides an overview of American Sign Language (ASL) fingerspelling techniques and numbering skills, focusing on improving students’ receptive and expressive skills so that students will be able to communicate with speed, dexterity and clarity."
ASL-231,Intermediate American Sign Language I,4.00,"Follows ASL-132 and is the first of two intermediate-level American Sign Language (ASL) courses focusing on communication in a cultural context. Develops knowledge of fingerspelling, vocabulary and grammatical structures, and expands visual receptive and gestural expressive skills in order to comprehend and express essential ideas in ASL."
ASL-232,Intermediate American Sign Language II,4.00,"Follows ASL-231 and is the second of two intermediate-level American Sign Language (ASL) courses focusing on communication in a cultural context.  Further develops knowledge of fingerspelling, vocabulary and grammatical structures, and expands visual receptive and gestural expressive skills in order to comprehend and express a wide range of ideas in ASL."
ASTR-131,Descriptive Astronomy,3.00,"Consists of a conceptual introduction to the fundamentals of astronomy. Describes the motion, structure, and evolution of celestial bodies as well as the Universe itself."
ASTR-133,Introductory Astronomy Laboratory,1.00,"Emphasizes experimental work with the scientific concepts important in astronomy. Includes planetarium-based observation and/or computer simulations, as well as hands-on experimentation of astronomical phenomena. This course combined with ASTR-131 provides the student with a four-hour laboratory science credit. Two hours of laboratory per week."
ATMS-131,Weather and Climate,3.00,"A non-mathematical introduction to the behavior of the atmosphere and its causes. Topics include atmospheric structure, earth-sun relationships, heat, humidity, clouds, wind, storms, forecasting, pollution, and climate. Offers students without scientific background an interesting look into the atmosphere and weather that surround them."
AUTO-101,Automotive Fundamentals,4.00,"Provides an introduction to the major automotive systems covered in greater detail in other automotive technology specific system classes. Explores how to perform preventive maintenance routines, such as oil changes, tire rotations on standard systems as well as on vehicles equipped with TPMS (Tire Pressure Monitoring System); brake and suspension system inspections; and how to service the cooling system. This is the only course allowed for Secondary Partnership transfer credit (4 credit hours) from approved high school programs."
AUTO-102,Related Technical Automotive,3.00,"A course for all ASSET students focusing on the inter-workings of Ford or Lincoln Dealerships. Covers dealer practices of writing warranty reports, work orders, and parts ordering. Introduces general preventative maintenance routines such as oil changes, cooling system service, tire service, and tire pressure monitoring system (TPMS) operation.  Use of Ford Motor Company's training system, service publications, prior-approval/technical assistance request, and Service Labor Time Standards (SLTS) will also be discussed."
AUTO-103,Introduction to the Automotive Industry and Automotive Maintenance,2.00,"Provides an introduction to the major automotive systems covered in greater detail in other automotive technology specific system classes. Explores how to perform preventive maintenance routines, such as oil changes, tire rotations on standard systems as well as on vehicles equipped with TPMS (Tire Pressure Monitoring System); brake and suspension system inspections; and how to service the cooling system."
AUTO-105,Internal Combustion Engines,3.00,"Introduces four-stroke engines by exploring principles of operation, compression ratio, piston displacement, operating tolerances, valve timing, horsepower and torque development along with adjustments, inspection, and troubleshooting procedures. Course topics help students prepare for ASE certification exams and State of Michigan licensure, but these exams/licensure are not included in this course. Laboratory activities."
AUTO-108,Basic Automotive Electricity,3.00,"A study of basic automotive electricity theory and principles. Covers voltage, amperage, Ohm’s law, accessories, and lighting as well as series, parallel, and series-parallel circuits. Reading of electrical schematics/wiring diagrams is covered. 
 Also discusses the various meters that are used in the service of automobiles. Emphasizes circuit diagnosis and troubleshooting using proper diagnostic techniques and tools, including flex-probes."
AUTO-110,Automotive Electrical Systems,3.00,"A basic automotive electricity and electronics course, including the study of the fundamentals of and operation and service required for batteries, cranking motors, alternators, regulators, and certain accessories used on current-production automobiles. NOTE: Course topics and laboratory experiences help the student prepare for ASE certification and State of Michigan licensure in automotive electrical systems, but certification/license are not included in this course."
AUTO-120,Automotive Fuel Management Systems,2.00,"Introduces the types of fuels and air/fuel ratio requirements of the various fuels used in current automotive engines, along with the construction and operation of fuel delivery systems. Discusses fuel pumps, fuel lines, fuel filters, and storage tanks. Fuel system types include returnable electronic fuel injection, returnless electronic fuel injection, and gasoline direct fuel injection. Also discusses elements of mechanical and electronic automotive emissions. This course also covers the use of diagnostic scan tools and covers vehicle programming principals."
AUTO-121,Electronic Fuel and Emissions Control Systems,3.00,"Introduces electronic computer-controlled fuel delivery and metering systems.  Discusses electronic emission controls and environmental impact of tailpipe emissions.  Comparison of mechanical historical fuel and emissions control systems to modern electronic systems.  Discussion of onboard diagnostic system monitors.  Provides exposure to electronic diagnostic equipment.   Also, discusses connected vehicle monitoring and autonomous over-the-air controller updates."
AUTO-131,Automotive Ignition Systems,2.00,"An intermediate-level course covering the operating principles, construction, troubleshooting and maintenance of units of the automotive ignition system, including distributors, coils, electronic controls and advance mechanisms. Studies ignition timing, wiring, and ignition malfunctions as well as electronic ignition systems and ignition-related emission controls."
AUTO-132,Computer Controlled Ignition Systems and Engine Performance,2.00,An intermediate-level course on computer-controlled ignition systems and engine performance. Studies systems currently in use as well as newer systems available in the future.
AUTO-135,Mathematics for the Technician,3.00,"Covers basic mathematics skills specific to the technical field as well as examining measurement aspects beginning with angle and linear measurement, ratios and proportions, basic algebraic expressions, geometry as applied to area and volume calculations - as well as suspension geometry for vehicle alignment, and vibration analyzer data analysis."
AUTO-140,Automotive Transmissions Systems,3.00,"Covers automatic transmissions and transaxles. Emphasizes the operating principles, construction, adjustments, troubleshooting, and maintenance of automatic transmissions. Also examines clutches, bands, solenoids and torque converters."
AUTO-142,Automatic Transmission Controls/Diagnosis,2.00,Delves deeper into topics covered inAUTO-140with additional experiences in the service and repair operations related to current electronically controlled automatic transmissions. Emphasizes electronic control systems.
AUTO-145,Manual Transmissions and Transaxles,4.00,"Explores the theory of operation, construction, diagnosis, maintenance, and service of automobile manual transmissions, transaxles, and clutches. Emphasizes how to disassemble, inspect, and measure various transmissions."
AUTO-150,Automotive Diagnosis and Engine Evaluation,2.00,"An advanced-level course in the application of diagnosing, locating, and correcting trouble encountered in automotive service, using various types of testing equipment. Engine diagnosis includes variable cam timing and variable displacement engine systems. Compression analysis including cylinder compression testing and cylinder leak down testing.  Fuel system diagnosis includes pressure and injector tests using active commands and relative flow analysis. Cooling system evaluation and testing, including identification of cooling system components.  Coursework also explores various common problems that occur in the servicing of the modern automobile. Ignition system diagnostics that includes the use of secondary ignition scope and electronic system testing."
AUTO-160,Automotive Chassis Units,2.00,"A study of the construction, operation, and maintenance of the various chassis units. Examines steering, suspension systems, and alignment as well as disc and drum braking systems. Study of tire pressure monitoring system functionality."
AUTO-162,Antilock Brake Systems,3.00,"Covers the theory and operation of Anti-lock Brake Systems (ABS) and traction control systems. Includes the design and construction of ABS braking systems, as well as  traction control system operating principles.  Diagnostic techniques, troubleshooting, and repair of ABS/TC, along with service techniques and hands-on experiences are an integral component of the coursework."
AUTO-165,Electronic Steering and Suspension,4.00,"Introduces the theory and operation of electronic steering and electronic or active suspension systems. Also covers theory and operation of steering and suspension multiplexing, diagnosis and repair procedures, and alignment concepts. Lab activities are an integral component of the coursework."
AUTO-181,Technical Automotive Welding,4.00,An entry-level welding course in electric welding processes and cutting processes relating to the repair and maintenance of the automobile.
AUTO-190,Co-op in Automotive Technology,1.00,"Cooperative education is a structured method of combining classroom-based education with practical work experience. A cooperative education experience, commonly known as a “co-op,” provides academic credit for structured employment experience. Work experience must be directly related to the student’s declared major to be eligible. To register for this course, a student must have completed 50% of core coursework, maintain an overall GPA of 2.0 and a program specific GPA of 2.5."
AUTO-191,Coordinated Educational Experience in Automotive Service 1,2.00,Designed to offer practical work experience within the Automotive Technology and Service field through participation in a supervised coordinated education program. This course integrates work experience in the student's Ford or Lincoln Dealership with the classroom and lab instruction.
AUTO-192,Coordinated Educational Experience in Automotive Service 2,2.00,Designed to offer practical work experience within the Automotive Technology and Service field through participation in a supervised coordinated education program. This course integrates work experience in the student's Ford or Lincoln Dealership with the classroom and lab instruction.
AUTO-215,Automotive Engine Dynamometer,2.00,"An advanced-level course in the purpose, construction, and operation of the automotive engine dynamometer. Presents how to conduct engine tests of horsepower and torque, and covers test cell setup of various sensor types and adaptation."
AUTO-216,Chassis Dynamometer,2.00,"An advanced-level course in the purpose, construction and operation of the automotive chassis dynamometer. Demonstrates how to conduct vehicle tests of horsepower and torque, and covers setup of various sensor types and adaptation. Including how to correctly place and secure a vehicle on the dynamometer, how to instrument the vehicle, how to set up and run tests on the vehicle, how to log data, and how to interpret that data.  Successful completion of this course will prepare the student for working in the field using dynamometers for OEM manufacturers and 3rd party R&D suppliers."
