course_code,course_name,credit_hours,description
ART 101,Foundation Drawing,3,"This course will introduce students to studio drawing, emphasizing creative expression and astute observation through the use and exploration of various drawing media. Students will concentrate on the fundamentals (e.g. line, volume, tone, texture, perspective, observation and composition) necessary for the development of visual imagery.  The emphasis is on observational drawing as applied to the figure, landscape and still life.  This course is typically directed to all art majors and is recommended as a prerequisite to most studio art classes."
ART 102,Watercolor Painting,3,This course introduces students to fundamental techniques in watercolor painting along with the development of creative ideas to inform imagery.  This course is directed to all art majors and non-majors and is recommended as an elective to most studio art programs.
ART 105,Advanced Drawing,3,"This course advances the concepts and skills from Foundation Drawing and emphasizes the development of the student’s individuality as an artist, and how to appreciate the roles and responsibilities of an artist within a culture and community.  Students will utilize and explore a variety of drawing media and mixed-media as applied to representational and non-objective subject matter.  Emphasis in this course is on traditional strategies for observation, elements of abstraction, imagination, and expressive drawing. Offered winter semester only."
ART 106,Color and Design,3,"In this course, students explore the principles of two-dimensional design using a variety of art tools, media, and materials.  This course concentrates on fundamental design principles and elements that are fundamental for all visual arts.  Students develop their design inspiration, concepts, and technical skills through discussion, study, and art-making."
ART 107,3-Dimensional Design,3,"Three-dimensional problems in the fundamentals of design include projects that are both decorative and functional.  Emphasis on form, texture and color are stressed.  A variety of media, both man-made and natural, are explored. Offered winter semester only."
ART 110,Traditional Black and White Photography,3,This course will explore the basics of photography with a focus on learning to develop film and print photographs using traditional darkroom processes including enlargers and chemicals.  Students will learn these technical processes as well as learn to mount/matte and present their artwork.
ART 118,Ceramics for Non-Majors,1.5,"The focus of this course is on the exploration, interpretation, and understanding of the basic handbuilding or wheel building techniques, along with a general understanding of the materials, clays, glazes, kilns and terminology used in ceramics.  Students will elect a course of study in either: wheel-throwing or hand-building. The student will make ceramic projects, fire, glaze them, and take them home. This course is intended for the casual-learner and runs on a part-time schedule, which may not support full transfer into a four-year fine arts program."
ART 119,Foundation Ceramics,3,"The focus of this course is on the exploration, interpretation, and understanding of the basic handbuilding and wheel building techniques, along with a general understanding of the materials, clays, glazes, kilns and terminology used in ceramics.  The student will make ceramic projects, fire, glaze them and take them home.  The completed ceramic projects also may be used for student portfolios when pursuing admittance to an undergraduate fine arts program."
ART 120,Art Appreciation,3,"This course is an introductory course that explores art fundamentals. Design elements, media, historical periods, and art movements are presented to provide the student with a basic visual literacy and appreciation for the arts.  This class is for non-art majors."
ART 203,Painting,3,"This studio-based course introduces fundamental materials, methods and concepts of studio painting. Students will gain technical skills in pictorial composition space, and the use of color. Historical and contemporary styles, attitudes and techniques will be explored."
ART 211,Advanced Ceramics,3,"This course is a continuation of ART 119 and the focus will be innovative design and creating a personal style of expression based on demonstrations and individual study. Students will elect a course of study in either: wheel-throwing or hand-building. Advanced students will learn fundamentals of running a ceramics studio and assist with loading and firing of kilns. The student will make ceramic projects, fire, glaze them and take them home. The completed ceramic projects also may be used for student portfolios when pursuing admittance to an undergraduate fine arts program."
ART 221,Art of the Western World I,3,"Formerly: ART 121 This is a survey course designed to introduce students to the historical and intellectual content of Western art history.  The class focuses on painting, sculpture, and architecture from the ancient to late Gothic periods in Europe and surrounding regions presented in terms of history, style, meaning, and social context."
ART 222,Art of the Western World II,3,"Formerly: ART 122 This is a survey course designed to introduce students to the historical and intellectual content of Western art history. The class focuses on painting, sculpture, graphic arts and architecture from the Renaissance to the modern period in Europe and America, presented in terms of history, style, meaning, and social context."
AST 104,Astronomy of the Solar System,3,"This course is an introduction to the astronomy of the solar system, including the Sun, its planets, their satellites, and the solar debris. The course will include discussions of the development of astronomy from ancient times to recent discoveries and experience with the types of mathematical exercises and observations essential to a grasp of the fundamental principles of solar system astronomy. The optional laboratory for this course is AST 106 - Astronomy of the Solar System - Laboratory ."
AST 106,Astronomy of the Solar System - Laboratory,1,This course is the optional laboratory course associated with AST 104 - Astronomy of the Solar System . It provides practical mathematical and observational skills essential for an understanding in the methodology utilized in the physical sciences as they relate to astronomy and cosmology.
AST 114,Astronomy of the Stars,3,"This course is an introduction to the astronomy of the starts, including the sun, celestial objects, stellar formation and death and cosmology (the study of the universe as whole). This course will include discussions of the development of the astronomy through the ages, recent discoveries, and experience with the types of mathematical principles employed and the astronomical observational skills essential for an understanding of the fundamental principles of astronomy and cosmology. The optional laboratory for this course is AST 116 ."
AST 116,Astronomy of the Stars - Laboratory,1,This course is the laboratory course associated with AST 114 . It provides practical mathematical and observational skills essential for an understanding in the methodology utilized in the physical sciences as they relate to astronomy and cosmology.
BIO 101,Essentials of Biology,4,This course addresses the nature of biology as a science. Students will learn core biological concepts and engage in the analysis and communication of biological subject matter. This course is not intended for biology majors.
BIO 120,Cellular and Molecular Biology,4,"This course addresses the cellular and molecular nature of biology. Topics covered include the chemical basis of biology, as well as the structure, metabolism, cellular reproduction, and genetics of cells. Students will engage in the analysis and communication of biological subject matter and explore the role of these topics in society. This course is intended for biology majors."
BIO 121,Organismal Biology,4,"This course addresses the diversity of organisms on Earth and how organisms interact with each other and the environment. Topics include evolution, anatomy, physiology, and ecology.  Students will engage in the analysis and communication of biological subject matter and explore the role of these topics in society."
BIO 160,Human Biology,4,This course is designed as a survey emphasizing the basic concepts and principles of human anatomy and physiology. This course is not intended for students preparing for the ADN program.
BIO 200,Introductory Botany,5,"This course introduces students to diverse members of the kingdoms Plantae, Fungi, and Protista. Their microscopic and macroscopic anatomy as well as their unique physiologies, specific metabolisms, patterns of inheritance and evolutionary relatedness will be explored. On an ecological scale, the role of plants is discussed with regards to ecological succession, biomes, community interactions and their importance to humans. Offered fall semester only."
BIO 206,Microbiology,5,"This course provides a general study of microorganisms.  Major topics considered in this course include microbial taxonomy, anatomy and physiology of microorganisms, microbial basis of disease, and economic significance of microorganisms.  Medical microbiology concepts including communicable diseases, host defenses, and microbial control are covered.  Techniques of culture, identification, and control of microorganisms are emphasized in the laboratory."
BIO 250,General Zoology,5,"This course surveys the diversity of major groups of animals with emphasis on their anatomical, physiological, ecological, and evolutionary relationships. Winter semester only"
BIO 270,Environmental Science,3,"Students in this course investigate the anthropogenic factors that affect ecosystems.  Emphasis is placed on investigating the interrelated social, historical, economic, ethical, and political factors that impact environmental problems and their solutions.  Field trips, guest speakers, and projects contribute to student learning in this course."
BIO 271,Human Anatomy and Physiology I,4,"Formerly: BIO 171 This course is the first part of a two course sequence studying the anatomy and physiology of the human body. The major concept areas emphasized in this course are the general organizational features of the body, cellular and tissue organization, and the anatomical and physiological characteristics of the integumentary, skeletal, muscular, nervous and endocrine systems."
BIO 272,Human Anatomy and Physiology II,4,"Formerly: BIO 172 This course continues the study of the anatomy and physiology of the human body initiated in BIO 271 . The major concept areas emphasized in this course include the anatomical and physiological characteristics of the circulatory, lymphatic, respiratory, digestive, urinary and reproductive systems. Regulation of pH (acid/base), body fluids and nutrients is also emphasized."
BIO 280,Pathophysiology,4,"Pathophysiology is the study of disrupted function of the human body.  This course emphasizes general pathological concepts, common diseases of the major body systems, and treatment and prevention of common diseases."
BUS 110,Human Relations,3,"The human relations skills that employees need to develop and contribute directly to their effectiveness in the business environment. Skill areas include leadership, motivation, communications, group dynamics, emotional intelligence, conflict resolution, stress, and time management."
BUS 130,Small Business Management & Entrepreneurship,3,"This course is designed to provide foundational knowledge for aspiring entrepreneurs and small business owners. The course’s dynamic framework and the content will maximize the potential for success in a small business or entrepreneurial venture. Topics include generating and evaluating business ideas, conducting a feasibility analysis and designing a business module, e-commerce, managing cash flow, writing business plans, obtaining financing, staffing, marketing, organizing, and managing a start-up or small business."
BUS 150,Principles of Business,4,"This course covers the following fundamentals:  trends and economic issues affecting business, forms of business ownership, entrepreneurship and franchising, marketing, management and leadership, information technology for business, human resource management, accounting fundamentals, financial system and management, ethics, social responsibility, and globalization."
BUS 153,Business Law,4,"This course is a practical approach to law that emphasizes current and relevant topics students need to understand about business transactions and issues, such as contracts, property, employer/employee relations, and insurance."
BUS 155,Principles of Management,3,This course surveys principles and practices of business from the point of view of the manager and the employee.  The course also presents a detailed development of the functions of management.
BUS 158,Business Math,4,"This course focuses on the application of valuation fundamentals for a variety of business/consumer situations including, but not limited to:  payroll, interest, present value, pricing, investments, taxes, and the use of the compounding method."
BUS 180,Marketing Principles,3,"This course is an introduction to the marketing concept and its role in overall business strategy. It covers identifying segmentation, differentiation, target marketing and positioning opportunities that can be addressed with the proper marketing mix. All content is taught in the context of today’s complex global environment."
BUS 181,Professional Selling,3,"The course covers professional selling fundamentals, including developing a presentation strategy, planning the pre-approach, the approach, demonstration, negotiation, close, and servicing the sale."
BUS 186,Internet Marketing,3,"The course will provide the training needed to develop and effectively manage a marketing-oriented website. The course is different from current computer or art department classes in that web site development does not require knowledge of computer coding or personal artistic ability. Websites will be created using available artwork and website templates such as Google Sites. The course will also cover the use of social media, PPC (pay-per-click) advertising and Search Engine Optimization (SEO) techniques."
BUS 199,Personal Finance,3,"An analysis of the fundamental principles of personal financial planning and the primary focus on family financial management. The emphasis will be on developing terminology, and understanding the nuances of budgeting and tax planning, managing liquidity, personal finance, wealth protection, personal investing, retirement and estate planning. An analysis of personal objectives and financial planning will be utilized to develop a comprehensive financial plan."
BUS 225,Business Communications,4,"Formerly: OA 225 This course is intended to assist students in development of the communication skills that are expected of individuals in today’s business environment. Through the use of specific exercises and assignments, the student will be made aware of the minimum communication skill requirements, and develop the skills and tools necessary to effectively communicate in a number of different professional settings utilizing available formats, mediums, and state of the art technologies.   Specific emphasis will be made to sharpen grammatical skill sets. In addition, students will work on developing the needed interpersonal and team skills required in the business environment. There will be elements of this course that cover intercultural, international awareness, and sensitivity issues as it relates to communication."
BUS 250,Advertising and Promotion Management,3,"The development of the promotional blend of the marketing function is examined from the manager’s view point. Topics include advertising, sales promotion and public relations."
BUS 252,Consumer Behavior,3,"A study of the motivational factors influencing purchasing decisions. Emphasis is placed on the psychological, sociological and anthropological factors as they affect consumer decision making."
BUS 258,Human Resources Management,3,"This course focuses on the fundamentals of human resource management (HRM). Significant areas of focus are understanding HRM, legal and ethical issues in HRM, staffing, training and development, high-performance work systems, and labor relations.  Students will perform many tasks in a team environment, including case analyses and an in-depth interview project.  The interview project allows students to complete the staffing process from both sides of the interview table as an interviewer and applicant."
BUS 262,Organizational Behavior and Team Development,3,"This course explores human behavior in organizations. Conceptual frameworks, case discussions, team assignments and skill-oriented activities are applied to course topics which include motivation, learning and development, group dynamics, leadership, communication, power and influence, change, diversity, organizational design, and culture. Class sessions and assignments are intended to help participants acquire skills and analytic concepts to improve organizational relationships and effectiveness."
BUS 290,Critical Thinking in Business - Capstone,3,"The capstone course extends the knowledge of the student beyond the business principles level. Emphasis will be on the application of business concepts and principles to resolve real-world situations. The instruction mode will be varied:  lectures, reading, critical thinking applications, and case analysis."
CHM 101,Introduction to Inorganic Chemistry,4,"As an introductory course, several foundational concepts of inorganic chemistry are presented.  The emphasis is placed on measurement, atomic and molecular theories, states of matter, fundamental stoichiometry, and reaction theory.  Applications, some theory and the scientific method of thought are stressed.  Laboratory experiments are designed to enhance these basic chemical principles and provide techniques of data gathering and communication. No prior chemistry experience is required."
CHM 102,Introduction to Organic and Biochemistry,4,"The organic chemistry segment considers the carbon atom, the classical functional groups, their definition, structure and bonding, systematic nomenclature, physical properties, and particular reactions relevant to biochemistry.  The biochemistry segment examines fundamental organic molecules that occur in living organisms (biomolecules), and the dynamic sequential reactions that interrelate these molecules.  The laboratory is used to enrich the student’s experience demonstrating techniques and relating to the topics under consideration. Offered winter semester only."
CHM 111,Chemistry Theory and Principles with Analysis I,5,"A primary emphasis is placed on fundamental chemical concepts and problem solving.  Topics of measurement, number analysis, nomenclature, atomic and molecular modeling, reaction stoichiometry, states of matter and solution chemistry are considered.  The laboratory is directed toward development and improvement of fundamental techniques, collection of data, analysis of these data, drawing conclusions, and communication of information to others. This course is designed for science majors, particularly for those in the physical science disciplines. Previous chemistry experience (high school, CHM 101 or equivalent) is required."
CHM 112,Chemistry Theory and Principles with Analysis II,5,"This is a continuation of CHM 111 in theory and calculations.  Emphasis is placed on topics of introductory physical chemistry, for example, kinetics, equilibrium, thermodynamics, electrochemistry and coordination compounds.  The laboratory will consider data that relates to these major topics in a quantitative approach.  The study of qualitative analysis of selected ions is also considered. Offered winter semester only."
CHM 203,Research Into Water Analysis,2,"This course on chemical environmental analysis will provide students the opportunity to participate in the ongoing St. Clair River Water Research Project, a collaborative effort with local water treatment plants and university partners. Students will survey practices and techniques of EPA methodology. The basic concepts of Gas Chromatography and Mass Spectroscopy will be studied, along with techniques in organic compound extraction from water and other media. The course will provide practice for the actual analysis of water samples for volatile and semi-volatile organic compounds (VOC and SVOC)."
CHM 215,Organic Chemistry I,5,"This class serves as an introduction to the nomenclature, reactions and synthesis of aliphatic and aromatic compounds and alkyl halides. Physical, structural and spectral properties of the various hydrocarbon subgroups are integrated with chemical bonding principles, reaction concepts and stereochemistry. The laboratory is designed to develop the techniques needed for product isolation, purification and identification of organic compounds. Offered fall semester only."
CHM 216,Organic Chemistry II,5,"The major functional groups based upon oxygen, nitrogen and sulfur are covered. The reactions of these compounds are approached from a mechanistic perspective including inductive, resonance, thermodynamic, kinetic and equilibrium effects. Special topics include polymers, intramolecular rearrangements and photochemical reactions. In the laboratory, emphasis is on the accomplishment of major classes of organic reactions and synthesis. Offered winter semester only."
CIS 105,Cybersecurity Essentials,2,"Cybersecurity is a critical issue for anyone who uses the Internet, either for their personal use or an employee. This online course will provide technology users with the knowledge and skills to keep information safe by providing an introduction to the key terms, concepts and technologies related to cybersecurity. Various types of cyber threats will be explained, along with information on how to protect against these threats on personal computers and small networks. This course is intended for students without computer security background or experience."
CIS 110,Foundations of Information Systems,4,"This course examines the impact of computers on business, society, and the individual. Topics include: the evolution of computers, the information processing cycle; components of an information system; usage of the computer as an information gathering tool; basic hardware and software terminology and concepts; information system design and development; data communications, networking, the Internet; and exploration of computer related careers."
CIS 115,Microcomputer Applications,4,"This is a hands-on class using the microcomputer in a variety of applications, including word processing, electronic spreadsheet and database management. The course will emphasize systems as well as applications software. Fundamentals such as identifying computer hardware, file management and problem solving methodologies will be presented."
CIS 120,Introduction to Networking - Network+ Certification,4,"Computer networks provide the vital links that enable us to connect to our digital world. From managing a few connected devices in a home or small office setting to configuring and troubleshooting a large-scale corporate network, these skills are in demand. The course will cover fundamental networking concepts, including technologies, topologies, protocols, industry standards, and the infrastructure aspects of cybersecurity. Students who successfully complete this course will be prepared to take the popular CompTIA Network+ certification."
CIS 130,Operating Systems,4,"This course provides an introduction to using and supporting operating systems on personal computers.  Students will examine the inner workings of operating systems, comparing and contrasting features and functions of various operating systems, including Windows and Linux.  Security concerns such as privacy, access control and encryption will be emphasized. Since networking is an integral part of modern computing, practical aspects of networking will also be introduced. Hands on activities include operating system usage, installation and configuration, as well as troubleshooting."
CIS 155,Introduction to App Coding and Development,4,"An introduction to programming (coding) and computer science for students with little or no prior programming experience. Students will explore fundamental programming topics such as: control structures, data types, problem solving and algorithms. Students will develop programs using visual and high-level programming languages to build Internet and general applications."
CIS 160,A+ Certification,4,"This is an introductory course on how the computer works at the hardware level. Students will learn the basics of upgrading, maintaining and repairing a computer. Topics include the system board, BIOS, DOS, floppy drives, hard drives, peripheral devices, memory, troubleshooting, supporting Windows and others. This course prepares the student to take the A+ Certification exam."
CIS 200,Spreadsheets,4,"This course focuses on the capabilities, features and usage of electronic spreadsheet software. Particular attention is given to the application of these spreadsheet tools in the solution of practical problems from business, finance, science and other areas. Through lecture and hands-on exercises, students will examine the skills which are needed to make effective use of spreadsheets including: worksheet design, problem organization, use of advanced functions, data analysis, advanced charts and graphs, spreadsheet automation and presentation of results. This course will also assist students in preparing for the Microsoft Office Specialist (MOS) certifications in Excel. Students who have not completed the pre-requisites but have experience in spreadsheet data entry, basic formatting, creating formulas and using basic functions such as SUM, AVERAGE, IF and PMT may contact the instructor for permission to enroll."
CIS 202,Databases,4,"This course addresses the design, creation and management of databases utilizing relational and other models. Topics covered include database fundamentals, database management systems (DBMS) software, data management topics, and structured query language (SQL).  Emphasis is placed on “hands-on” development of databases using an industry standard DBMS. Students will be expected to design, develop, and present a real-world database application. Students without experience using databases (such as Microsoft Access or MySQL) are strongly encouraged to complete CIS 115 Microcomputer Applications before taking CIS 202 Databases."
CIS 205,Introduction to Web Development,4,"This course provides an introduction to essential web development skills. Students will examine the structure and function of the World Wide Web, and the tools used to create and manage web content. Planning, design, and formatting of web pages and sites will be emphasized. Hands on activities include developing web pages incorporating graphics, forms and scripts using Hypertext Markup Language (HTML) and Cascading Style Sheets (CSS). Though there are no specific course pre-requisites, students should have experience in using a web browser, searching, managing computer files and folders, basic word processing and email."
CIS 225,Cybersecurity - Security+ Certification,4,"Cybersecurity experts assess and combat the risks facing computer networks and technologies. This course examines the core cybersecurity functions required by security and network administrators, such as risk management, risk mitigation, threat management, and intrusion detection. Students prepare to take the CompTIA Security+ examination, vendor-neutral, entry-level cybersecurity certification. The course will also feature a discussion of current events and recent security challenges.  Offered fall semester only."
CIS 231,Cybersecurity: Topics in Information Assurance,4,"Cybersecurity professionals are expected to help design and manage systems that may be trusted. This course examines the fundamentals of Information Assurance and security design. Topics include: compliance and privacy; security posture, vulnerabilities and potential threats; evaluating risk and understanding security controls; and the incident response process. This course will also feature a significant discussion and analysis of current events and recent security challenges."
CIS 233,Linux+ Certification,4,"This course prepares students to sit for the CompTIA Linux+ (powered by LPI) Certification examination. Linux+ Certification validates technical competency and provides a broad awareness of Linux operating systems. Students will install, configure, use, maintain, administer, and troubleshoot Linux systems. This course will cover a variety of distributions, including Red Hat/Fedora and SUSE. Offered winter semester only."
CIS 255,Web Application Programming,4,"This course examines technologies and tools used to create dynamic, interactive web applications appropriate for both traditional computers and mobile devices.  Both client side and server side technologies will be examined.  Programming projects will emphasize the usage of tools such as: HTML5, Cascading Style Sheets (CSS), JavaScript, PHP, and SQL. This course is designed for students who are already familiar with web page development and introductory programming skills."
CIS 260,Computer Programming I,4,"This course provides an introduction to fundamental concepts of computer programming, problem solving techniques and algorithm development. Programming projects will emphasize the syntax and usage of a high level programming language, along with analysis, design and testing."
CIS 261,Computer Programming II - Data Structures,4,"This course explores the techniques and data structures used in the development of complex software projects. Through lectures and programming projects, this course will cover elementary data structures, dynamic memory allocation, sorting and searching, recursion, algorithmic analysis and object oriented programming techniques. Offered winter semester only."
CIS 282,Project Management - Project+ Certification,4,"This course prepares students to sit for the CompTIA Project+ Certification examination. Students will learn the common project management terminology and the technical knowledge and skills required to initiate and develop a project. Students will create scope statements, management plans, statements of work, schedules, and other relevant documents. Budgeting and managing project relationships are also covered. Emphasis is placed on finalizing and measuring the success of projects. Real-world examples and case studies will be used throughout the course. Students will use Microsoft Project and Microsoft Visio during this course. Offered fall semester only."
CIS 297,"College to Career: Skills, Tools and Technology",20,"Success in the classroom is a great start, but students seeking employment in today’s technology rich workplace require additional skills. This course will launch students on their professional job search by analyzing and reflecting on career readiness. Tangible evidence of skills and talents will be organized into job search documentation, such as a résumé and portfolio. Students will explore job search and professional networking tools, along with preparing for the interview process. This course not only assists technical students in developing vital “soft skills” it is applicable for any student preparing to seek professional employment."
