"Course Subject Code","Course Number","Course Title","Credits - Credit Hours - Credit Hours Min","Credits - Credit Hours - Credit Hours Max","Credits - Credit Hours - Credit Hours Value","Credits - Credit Hours - Credit Hours Operator","Credits - Contact Hours - Contact Hours Min","Credits - Contact Hours - Contact Hours Max","Credits - Contact Hours - Contact Hours Value","Credits - Contact Hours - Contact Hours Operator","Credits - Billing Hours - Billing Hours Min","Credits - Billing Hours - Billing Hours Max","Credits - Billing Hours - Billing Hours Value","Credits - Billing Hours - Billing Hours Operator","Credits - Lecture Hours - Lecture Hours Min","Credits - Lecture Hours - Lecture Hours Max","Credits - Lecture Hours - Lecture Hours Value","Credits - Lecture Hours - Lecture Hours Operator","Credits - Lab Hours - Lab Hours Min","Credits - Lab Hours - Lab Hours Max","Credits - Lab Hours - Lab Hours Value","Credits - Lab Hours - Lab Hours Operator","Credits - Other Hours - Other Hours Min","Credits - Other Hours - Other Hours Max","Credits - Other Hours - Other Hours Value","Credits - Other Hours - Other Hours Operator","Credits - Course Count","Credits - Repeatable","Credits - Number Of Repeats","Credits - Number Of Credits","Course Description"
"CIS","277","ADVANCED GIS APPLICATIONS","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","277  ADVANCED GIS APPLICATIONS   3(2-2)

This course explores the practice of using a geographic information system (GIS) to perform advanced geoprocessing to solve spatial problems and support decision making. Topics include a review of underlying geographic concepts (coordinate systems and projections), map design and outputs, geodatabases, importing spatial and attribute data, geocoding, spatial data processing, and advanced spatial analysis. Additional topics include map algebra, modeling, geostatistical and network analysis, and 3D display. Students will be able to customize their lab exercises by choosing projects using real-world data taken from several disciplines. Students will follow a structured workflow using commercial GIS software to examine data, develop process summary, perform analyses, create maps, and write reports that communicate results successfully to a broad audience.  

Prerequisites: CIS 237

Additional Course Fee: $30.00"
"NURS","290","ADVANCED HEALTH ASSESSMENT","1","-","-","-","1","-","-","-","1","-","-","-","1","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","290 ADVANCED HEALTH ASSESSMENT   1(1-0)

Students in this course will build upon basic nursing assessment skills introduced and developed in prior nursing courses.  Students will expand focused assessment skills related to pathophysiology and human development.  

Prerequisites: ENGL 102 and NURS 136 and 181 and 182"
"CULI","286","ADVANCED PASTRY TECHNIQUES","3","-","-","-","5","-","-","-","5","-","-","-","1","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","286 ADVANCED PASTRY TECHNIQUES   3 (1-4)

Students will focus on advanced cake decorating methods, decorative sugar, and chocolate showpiece making techniques, as well as plated desserts for a la carte service and banquet work. Students will develop proper plating and service selections, color, texture and height, and focal point balance. The profitability of classical desserts and nutritional value will be examined. Showpieces and sculptures made in this class can be used in competitions and during special events.

Prerequisites: None

Additional Course Fee: $360.00"
"CIS","267","ADVANCED PYTHON PROGRAMMING","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","267 ADVANCED PYTHON PROGRAMMING   3 (3-0)

Computer Science 2 (CS2) course with emphasis on data structures, linked lists, binary trees and recursion as implemented in the latest version of the Python programming language. The main goal of the course is to introduce students to fundamental techniques for algorithm design and analysis and apply them using Python. Topics covered include: basic skills for analyzing efficient data structures and algorithms; 
programming tools and libraries from the rich Python ecosystem for developing reliable, self-documented programs; algorithmic problem-solving including the application of specific techniques for algorithm design like divide-and-conquer, greedy strategies and dynamic programming. Assignments will include both Python programs and written explanations using Anaconda Jupyter Lab and several Python libraries such as scipy, numpy, pandas, requests, and matplotlib. 

By the end of the course students will have considerable experience using the programming constructs in Python such as built-in data types, function specifications and implementation, iterative computation, conditional evaluation of code, file input / output, and structured code with modules and functional abstraction, and debugging / testing methods. Content is aligned with the Certified Associate in Python Programming (PCAP) certification.

Prerequisites: CIS 167

Additional Course Fee: $30.00"
"BUSA","208","ADVER./SALES PROMOTION","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","208 ADVERTISING AND SALES PROMOTION   3 (3-0)

Provides an overview of real-world advertising and promotion practices within the context of an integrated marketing communications (IMC) approach. IMC includes advertising, sales promotion, digital and social media, experiential marketing, and public relations, as well as the functions of marketing, research, advertising and promotion agencies, the creative process, and media placement. Emphasizes customized interactive sessions, including  presentations by business professionals and relevant reading and case study analysis. Develops real-world skills and expands their understanding of consumer roles.

Prerequisites: None"
"HIST","205","AFRICAN AMERICAN HISTORY","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","205 AFRICAN AMERICAN HISTORY   3 (3-0)

Reviews theories surrounding early presence of black Africans in Ancient America. Presents an overview of the developments that led to the African slave trade and slave systems in North and South America. Challenges, contributions and culture of African Americans in North America from pre-Revolution to post-World War I are included.

Prerequisites: None"
"AGRI","115","AGRIBUSINESS MANAGEMENT","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","115 AGRIBUSINESS MANAGEMENT     3 (3-0)

This course provides a comprehensive introduction to agribusiness management, emphasizing strategic planning, financial analysis, marketing, operations, and human resource management. Students will be equipped with tools to analyze and make informed decisions in the context of agribusiness. 

Prerequisites: None"
"AGRI","110","AGRICULTURAL CHEMISTRY","4","-","-","-","6","-","-","-","6","-","-","-","3","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","110  AGRICULTURAL CHEMISTRY             Fall                                    Fee 4(3-3)
This is a fundamental course in chemistry. Topics include an overview of basic inorganic, organic and biochemistry with applications to agriculture.
Prerequisites: E,R and MATH095 or pass algebra proficiency test"
"CIS","112","AI ETHICS AND USAGE","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","112 AI ETHICS AND USAGE     3 (3-0)

This course explores the rapidly evolving field of artificial intelligence (AI) with a focus on its ethical implications, societal impacts, and practical applications. Students will gain a foundational understanding of AI and Large Language Models (LLMs), examining their principles and real-world use cases. Through interactive discussions, case studies, and hands-on lab projects, the course will delve into the financial, environmental, and cultural effects of AI technologies. Students will also develop critical skills in evaluating public AI tools, integrating AI responsibly into academic and professional settings, and exploring ethical considerations in everyday life. By the end of the course, participants will be equipped to make informed decisions about AI usage and contribute thoughtfully to conversations about its future. This course is cross-listed with PHIL 112.

Prerequisites: None"
"HUMN","112","AI: ETHICS AND USAGE","0","3","-","-","0","3","-","-","0","3","-","-","0","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","112 AI: ETHICS AND USAGE     3 (3-0)

This course explores the rapidly evolving field of artificial intelligence (AI) with a focus on its ethical implications, societal impacts, and practical applications. Students will gain a foundational understanding of AI and Large Language Models (LLMs), examining their principles and real-world use cases. Through interactive discussions, case studies, and hands-on lab projects, the course will delve into the financial, environmental, and cultural effects of AI technologies. Students will also develop critical skills in evaluating public AI tools, integrating AI responsibly into academic and professional settings, and exploring ethical considerations in everyday life. By the end of the course, participants will be equipped to make informed decisions about AI usage and contribute thoughtfully to conversations about the part it will play in our future.  This course is cross listed with CIS 112.

Prerequisites: None"
"HIST","201","AMERICAN HISTORY","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","201 AMERICAN HISTORY   3 (3-0)

United States history from the colonial period through 1877. Topics include English settlement, slavery, colonial rule, the American Revolution, the Declaration of Independence, the Constitution and early republic, the War of 1812, the social, economic, political, religious, and territorial developments of the antebellum era, the coming of the Civil War, the Civil War, and Reconstruction.

Prerequisites: None"
"HIST","202","AMERICAN HISTORY","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","202 AMERICAN HISTORY   3 (3-0)

United States history from 1877 to the present. Topics include Gilded Age America; late 19th-century imperialism and the Spanish-American War; early 20th-century Progressivism;the impact of Theodore Roosevelt on 20th- and 21st-century conceptions of politics and the presidency; World War I; the 1920s; the New Deal and Great Depression; World War II; the post-WWII era (1945-60); the civil rights movement of the late twentieth century; the growing disaffection with the liberal state and society in the 1960s and 1970s; the economic and technological changes since 1980; the Cold War and its end; and US foreign policy since the end of the Cold War.

Prerequisites: None"
"ENGL","211","AMERICAN LIT 1865 TO PRESENT","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","211 AMERICAN LITERATURE 1865 TO PRESENT    3(3-0)

A study of major elements of American literature from the Civil War to the present.  Emphasis on origins and nature of modern literature.  Examines American literature of period in terms of cultural, historical and intellectual roots.  Study of writings which reflect major literary and social movements.

Prerequisites: ENGL101 (may be taken concurrently)"
"ENGL","210","AMERICAN LITERATURE TO 1865","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","210 AMERICAN LITERATURE TO 1865    3(3-0)

Survey of literature of pre-American revolution texts to the Civil War.  Emphasis on disclosure of liberty and conquest, and the development of an American voice.  Examines American literature in terms of cultural, historical, and intellectual roots.  Emphasis on the issues of race, gender and class along with the study of writings that reflect major literary and social movements.

Prerequisites: ENGL101 (may be taken concurrently)"
"ENGL","209","AMERICAN NOVEL","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","209 AMERICAN NOVEL    3(3-0)

Major American novels since 1850 in terms of setting, characterization, plot, tone, point of view, theme, imagery, symbolism and style.  Social, historical, psychological and intellectual significance of works are considered.  Novels studied include selection of works by authors from 1850 to the present. 

Prerequisites: ENGL101 (may be taken concurrently)"
"ASL","101R","AMERICAN SIGN LANGUAGE I","4","-","-","-","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","101R AMERICAN SIGN LANGUAGE I     4 (4-0)

Introduction of principles, methods, and techniques for communicating with deaf people who sign. Development of expressive and receptive sign skills, manual alphabet, numbers, and sign vocabulary. Overview of syntax, grammar, and culture related to American Sign Language (A.S.L.). This course is delivered through a partnership with Rio Salado College.

Prerequisite: none"
"ASL","102R","AMERICAN SIGN LANGUAGE II","4","-","-","-","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","102R AMERICAN SIGN LANGUAGE II   4 (4-0)  

Continued development of knowledge and language skills for communicating with deaf people who sign. Includes numbers, fingerspelling, and culture.  Emphasis on enhancement of receptive sign skills and continued development of expressive sign skills. Application of rudimentary, syntactical, and grammatical structure stressed with continued development of sign vocabulary. Completion of prerequisites within the last three years is required. This course is delivered through a partnership with Rio Salado College.

Prerequisites: ASL 101R"
"ASL","201R","AMERICAN SIGN LANGUAGE III","4","-","-","-","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","201R AMERICAN SIGN LANGUAGE III   4 (4-0)  

Linguistics of American Sign Language (A.S.L.) including non manual behaviors and signing English idioms with conceptual accuracy. Emphasis on practical application of A.S.L. skills, expanded vocabulary, and cross cultural communication. Completion of prerequisites within the last three years is required with a grade of ""C"" or better or permission of Department or Division.  This course is delivered through a partnership with Rio Salado College.

Prerequisites: ASL 102R"
"ASL","202R","AMERICAN SIGN LANGUAGE IV","4","-","-","-","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","202R AMERICAN SIGN LANGUAGE IV   4 (4-0)

Advanced American Sign Language skills including continued vocabulary. Emphasis on conversational techniques in a cross cultural framework. Continued work on conceptual accurate signing of English idioms and words with multiple meanings. Completion of prerequisites within the last three years is required or permission of Department or Division. This course is delivered through a partnership with Rio Salado College.

Prerequisites: ASL 201R"
"MUSI","144","AP.TROM,EUPHON,BARITONE","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","144 APPLIED TROMBONE, EUPHONIUM, BARITONE   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"TRIN","107","APP GEOMETRY/TRIGONOMETRY","4","-","-","-","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","107  APPLIED GEOMETRY/TRIGONOMETRY    4(4-0)

Second in series of applied mathematics courses that build upon concepts applicable to skilled trades. Presents intermediate applications of geometry including propositions and axiom definitions, circles, areas, volume formulas and right angle trigonometry including right angles, interpolation and practical machining problem solving. 

Prerequisites: MATH100"
"MUSI","254","APPLIED BASSOON","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","254 APPLIED BASSOON    2(2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisite: MUSI 154

Additional Course Fee: $180.00"
"MUSI","154","APPLIED BASSOON","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","154 APPLIED BASSOON   2(2-0) 

College level applied music class, requires an audition or permission of instructor to to qualify. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","274","APPLIED CELLO","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","274 APPLIED CELLO    2(2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisites: MUSI 174

Additional Course Fee: $180.00"
"MUSI","174","APPLIED CELLO","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","174 APPLIED CELLO   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","256","APPLIED CLARINET","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","256 APPLIED CLARINET    2(2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury.

Prerequisite: MUSI 156

Additional Course Fee: $180.00"
"MUSI","156","APPLIED CLARINET","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","156 APPLIED CLARINET   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires an audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","280","APPLIED CLASSICAL GUITAR","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","280 APPLIED CLASSICAL GUITAR    2 (2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisites: MUSI 180

Additional Course Fee: $180.00"
"MUSI","180","APPLIED CLASSICAL GUITAR","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","180 APPLIED CLASSICAL GUITAR   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","276","APPLIED ELECTRIC BASS","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","276 APPLIED ELECTRIC BASS    2(2-0)

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisites: MUSI 176

Additional Course Fee: $180.00"
"MUSI","176","APPLIED ELECTRIC BASS","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","176 APPLIED ELECTRIC BASS   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","278","APPLIED ELECTRIC/ACOUSTIC GUIT","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","278 APPLIED ELECTRIC/ACOUSTIC GUITAR    2(2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisites: MUSI 178

Additional Course Fee: $180.00"
"MUSI","178","APPLIED ELECTRIC/ACOUSTIC GUIT","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","178 APPLIED ACOUSTIC/ELECTRIC GUITAR   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","150","APPLIED FLUTE","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","150 APPLIED FLUTE   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","250","APPLIED FLUTE","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","250 APPLIED FLUTE    2(2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisite: MUSI 150

Additional Course Fee: $180.00"
"MUSI","242","APPLIED FRENCH HORN","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","242 APPLIED FRENCH HORN    2 (2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisite: MUSI 142

Additional Course Fee: $180.00"
"MUSI","142","APPLIED FRENCH HORN","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","142 APPLIED FRENCH HORN   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or instructor permission.

Additional Course Fee: $180.00"
"CIS","276","APPLIED GIS","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","276 APPLIED GIS     3 (2-2)

This comprehensive course provides a full immersion into the world of Geographic Information Systems (GIS), focusing on the practical application of ESRI&apos;s ArcGIS Pro and ArcGIS Online. Students will apply GIS software tools across diverse fields such as Business, Agriculture, Urban Planning, Risk Management, Criminal Justice, Civil Engineering, Sustainability, Natural Resource Management, Marketing, Transportation, Demographic Studies, Utilities, Public Health, and more. Students will cultivate both technical skills and critical thinking abilities essential for solving complex spatial problems.

Participants will learn how to collect and manage spatial data, conduct sophisticated analyses, and create visualizations that enhance decision-making and solve complex problems within these varied disciplines. This hands-on course prepares students to utilize GIS technology effectively in a diverse range of professional environments, enhancing their analytical skill set and broadening their career opportunities. Aligned with industry certification.

Prerequisite: CIS 237

Additional Fee: $30.00"
"MUSI","288","APPLIED HARP","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","288 APPLIED HARP    2 (2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisites: MUSI 188

Additional Course Fee: $180.00"
"MUSI","188","APPLIED HARP","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","188 APPLIED HARP   2(2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform to a jury. 

Prerequisites: Requires an audition or permission of instructor.

Additional Course Fee: $180.00"
"MUSI","233","APPLIED JAZZ PIANO","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","233 APPLIED JAZZ PIANO    2 (2-0) 

College level Applied Music classes are for Music majors and other accomplished musicians. Successful completion of two previous semesters of study in instrument or permission of instructor a prerequisite for all classes. All students are required to perform for a jury. 

Prerequisite: MUSI 133

Additional Course Fee: $180.00"
"MUSI","133","APPLIED JAZZ PIANO","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","133 APPLIED JAZZ PIANO   2 (2-0) 

College level applied music class. Individual instruction for Music majors or highly-proficient musicians. All students are required to perform a jury. 

Prerequisites: Requires audition or permission of instructor.

Additional Course Fee: $180.00"
"CLS","104","APPLIED LEARNING STRATEGIES","1","-","-","-","1","-","-","-","1","-","-","-","1","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","104  APPLIED LEARNING STRATEGIES   1(1-0)

This course will help students apply the learning strategies from CLS103 to both current and future coursework.  Instructional support and application scenarios will be practiced for all applicable course content areas.

Co-requisite: CLS 103"
"MATH","100A","Applied Math-Pre-Algebra","1","-","-","-","1","-","-","-","1","-","-","-","0","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-"
"MATH","100","APPLIED MATHEMATICS","4","-","-","-","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","100 APPLIED MATHEMATICS   4 (4-0)

Basic mathematics needed in occupational fields such as machine tool, electronics, industrial manufacturing, service and maintenance, etc. Topics include fractions, percent, decimals, angular measurement, square root, basic geometry, formulas and basic algebra conversions. Practice and practical applications.

Prerequisites: None"
